team_name,matchday,is_home,odds_win,odds_draw,odds_lose,club_id
Stuttgart,4,False,3.33,3.81,2.06,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,4,True,1.86,3.85,4.01,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,4,False,3.12,3.51,2.26,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,4,True,4.03,4.32,1.76,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,4,False,1.53,4.52,5.76,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,4,True,13.73,7.73,1.19,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,4,False,2.13,3.78,3.16,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,4,False,1.19,7.73,13.73,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,4,True,5.76,4.52,1.53,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,4,True,2.06,3.81,3.33,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,4,False,1.61,4.35,5.13,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,4,False,1.76,4.32,4.03,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,4,True,3.16,3.78,2.13,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,4,False,2.59,3.23,2.82,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,4,False,4.01,3.85,1.86,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,4,True,5.13,4.35,1.61,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,4,True,2.26,3.51,3.12,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,4,True,2.82,3.23,2.59,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,5,True,1.92,3.91,3.75,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,5,False,1.67,4.15,4.82,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,5,True,3.0,3.72,2.25,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,5,False,2.25,3.72,3.0,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,5,True,1.47,4.78,6.34,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,5,False,5.06,3.89,1.69,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,5,False,11.2,7.26,1.22,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,5,True,1.22,7.26,11.2,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,5,False,5.07,4.18,1.64,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,5,False,6.34,4.78,1.47,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,5,True,1.64,4.18,5.07,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,5,True,1.21,6.84,13.27,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,5,False,3.75,3.91,1.92,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,5,True,2.27,3.41,3.16,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,5,True,1.69,3.89,5.06,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,5,True,4.82,4.15,1.67,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,5,False,3.16,3.41,2.27,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,5,False,13.27,6.84,1.21,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,6,False,2.23,3.61,3.15,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,6,True,2.96,3.63,2.31,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,6,False,4.32,4.11,1.75,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,6,True,1.86,3.87,4.03,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,6,False,2.31,3.63,2.96,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,6,True,7.49,4.96,1.4,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,6,True,1.75,4.11,4.32,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,6,False,1.18,8.08,13.96,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,6,True,2.03,3.62,3.61,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,6,True,2.64,3.47,2.62,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,6,False,2.0,3.57,3.71,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,6,False,1.4,4.96,7.49,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,6,True,13.96,8.08,1.18,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,6,False,4.03,3.87,1.86,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,6,False,2.62,3.47,2.64,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,6,False,3.61,3.62,2.03,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,6,True,3.71,3.57,2.0,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,6,True,3.15,3.61,2.23,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,7,True,2.67,3.66,2.5,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,7,False,2.92,3.56,2.36,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,7,True,2.44,3.5,2.87,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,7,False,3.29,3.69,2.12,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,7,True,1.35,5.24,8.71,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,7,False,4.31,3.69,1.84,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,7,False,2.5,3.66,2.67,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,7,False,1.82,4.19,3.89,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,7,True,2.91,3.54,2.37,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,7,False,2.37,3.54,2.91,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,7,True,2.36,3.56,2.92,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,7,True,3.89,4.19,1.82,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,7,False,2.87,3.5,2.44,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,7,True,1.84,3.69,4.31,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,7,True,2.12,3.69,3.29,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,7,True,2.21,3.48,3.24,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,7,False,8.71,5.24,1.35,f00a785b-acfa-5dc4-aecb-93f365778e10
