,name,matchday,event_type,count
284199,Robert Lewandowski,5,doublePack,1
284228,Robert Lewandowski,5,error,0
284212,Robert Lewandowski,5,farCorner,0
284220,Robert Lewandowski,5,foul,0
284214,Robert Lewandowski,5,freeKick,0
284200,Robert Lewandowski,5,goal,3
284232,Robert Lewandowski,5,goalAgainst,0
284211,Robert Lewandowski,5,goalAssist,0
284201,Robert Lewandowski,5,goalMissedFar,1
284202,Robert Lewandowski,5,hattrick,1
284215,Robert Lewandowski,5,interception,0
284230,Robert Lewandowski,5,lostPenalty,0
284217,Robert Lewandowski,5,missedChance,0
284227,Robert Lewandowski,5,offside,0
284219,Robert Lewandowski,5,ownGoal,0
284203,Robert Lewandowski,5,pass,12
284218,Robert Lewandowski,5,penaltyGoal,0
284204,Robert Lewandowski,5,playerOff,1
284225,Robert Lewandowski,5,redCard,0
284229,Robert Lewandowski,5,savedPenalty,0
284224,Robert Lewandowski,5,secondYellowCard,0
284205,Robert Lewandowski,5,shotAtGoal,1
284206,Robert Lewandowski,5,successfulTackle,2
284209,Robert Lewandowski,5,superPass,0
284210,Robert Lewandowski,5,throwIn,0
284207,Robert Lewandowski,5,unsuccessfulPass,5
284216,Robert Lewandowski,5,unsuccessfulPenalty,0
284208,Robert Lewandowski,5,unsuccessfulTackle,4
284223,Robert Lewandowski,5,yellowCard,0
285184,Robert Lewandowski,6,awardedPenalty,0
285191,Robert Lewandowski,6,blockedGoalShot,0
285185,Robert Lewandowski,6,causedPenalty,0
285171,Robert Lewandowski,6,cross,0
285196,Robert Lewandowski,6,defended,0
285179,Robert Lewandowski,6,doublePack,0
285193,Robert Lewandowski,6,error,0
285170,Robert Lewandowski,6,farCorner,0
285183,Robert Lewandowski,6,foul,0
285172,Robert Lewandowski,6,freeKick,0
285178,Robert Lewandowski,6,goal,0
285197,Robert Lewandowski,6,goalAgainst,0
285169,Robert Lewandowski,6,goalAssist,0
285174,Robert Lewandowski,6,goalMissedFar,0
285180,Robert Lewandowski,6,hattrick,0
285173,Robert Lewandowski,6,interception,0
285195,Robert Lewandowski,6,lostPenalty,0
285177,Robert Lewandowski,6,missedChance,0
285192,Robert Lewandowski,6,offside,0
285182,Robert Lewandowski,6,ownGoal,0
285165,Robert Lewandowski,6,pass,0
285181,Robert Lewandowski,6,penaltyGoal,0
285188,Robert Lewandowski,6,redCard,0
285194,Robert Lewandowski,6,savedPenalty,0
285187,Robert Lewandowski,6,secondYellowCard,0
285175,Robert Lewandowski,6,shotAtGoal,0
285189,Robert Lewandowski,6,successfulTackle,0
285167,Robert Lewandowski,6,superPass,0
285168,Robert Lewandowski,6,throwIn,0
285166,Robert Lewandowski,6,unsuccessfulPass,0
285176,Robert Lewandowski,6,unsuccessfulPenalty,0
285190,Robert Lewandowski,6,unsuccessfulTackle,0
285186,Robert Lewandowski,6,yellowCard,0
286152,Robert Lewandowski,7,awardedPenalty,0
286156,Robert Lewandowski,7,blockedGoalShot,0
286153,Robert Lewandowski,7,causedPenalty,0
286143,Robert Lewandowski,7,cross,0
286160,Robert Lewandowski,7,defended,0
286129,Robert Lewandowski,7,doublePack,1
286157,Robert Lewandowski,7,error,0
286142,Robert Lewandowski,7,farCorner,0
286151,Robert Lewandowski,7,foul,0
286144,Robert Lewandowski,7,freeKick,0
286130,Robert Lewandowski,7,goal,3
286161,Robert Lewandowski,7,goalAgainst,0
286141,Robert Lewandowski,7,goalAssist,0
286145,Robert Lewandowski,7,goalMissedFar,0
286148,Robert Lewandowski,7,hattrick,0
286131,Robert Lewandowski,7,interception,3
286159,Robert Lewandowski,7,lostPenalty,0
286147,Robert Lewandowski,7,missedChance,0
286132,Robert Lewandowski,7,offside,1
286150,Robert Lewandowski,7,ownGoal,0
286133,Robert Lewandowski,7,pass,26
286149,Robert Lewandowski,7,penaltyGoal,0
286155,Robert Lewandowski,7,redCard,0
286158,Robert Lewandowski,7,savedPenalty,0
286154,Robert Lewandowski,7,secondYellowCard,0
286134,Robert Lewandowski,7,shotAtGoal,1
286135,Robert Lewandowski,7,successfulTackle,6
286136,Robert Lewandowski,7,superPass,2
286140,Robert Lewandowski,7,throwIn,0
286137,Robert Lewandowski,7,unsuccessfulPass,3
286146,Robert Lewandowski,7,unsuccessfulPenalty,0
286138,Robert Lewandowski,7,unsuccessfulTackle,10
286139,Robert Lewandowski,7,yellowCard,1
287114,Robert Lewandowski,8,awardedPenalty,0
287119,Robert Lewandowski,8,blockedGoalShot,0
287115,Robert Lewandowski,8,causedPenalty,0
287093,Robert Lewandowski,8,cross,1
287124,Robert Lewandowski,8,defended,0
287110,Robert Lewandowski,8,doublePack,0
287121,Robert Lewandowski,8,error,0
287094,Robert Lewandowski,8,farCorner,1
287095,Robert Lewandowski,8,foul,2
287106,Robert Lewandowski,8,freeKick,0
287109,Robert Lewandowski,8,goal,0
287125,Robert Lewandowski,8,goalAgainst,0
287105,Robert Lewandowski,8,goalAssist,0
287096,Robert Lewandowski,8,goalMissedFar,2
287111,Robert Lewandowski,8,hattrick,0
287097,Robert Lewandowski,8,interception,1
287123,Robert Lewandowski,8,lostPenalty,0
287108,Robert Lewandowski,8,missedChance,0
287120,Robert Lewandowski,8,offside,0
287113,Robert Lewandowski,8,ownGoal,0
287098,Robert Lewandowski,8,pass,14
287112,Robert Lewandowski,8,penaltyGoal,0
287118,Robert Lewandowski,8,redCard,0
287122,Robert Lewandowski,8,savedPenalty,0
287117,Robert Lewandowski,8,secondYellowCard,0
287099,Robert Lewandowski,8,shotAtGoal,1
287100,Robert Lewandowski,8,successfulTackle,4
287103,Robert Lewandowski,8,superPass,0
287104,Robert Lewandowski,8,throwIn,0
287101,Robert Lewandowski,8,unsuccessfulPass,6
287107,Robert Lewandowski,8,unsuccessfulPenalty,0
287102,Robert Lewandowski,8,unsuccessfulTackle,1
287116,Robert Lewandowski,8,yellowCard,0
288080,Robert Lewandowski,9,awardedPenalty,0
288085,Robert Lewandowski,9,blockedGoalShot,0
288081,Robert Lewandowski,9,causedPenalty,0
288071,Robert Lewandowski,9,cross,0
288090,Robert Lewandowski,9,defended,0
288076,Robert Lewandowski,9,doublePack,0
288087,Robert Lewandowski,9,error,0
288070,Robert Lewandowski,9,farCorner,0
288059,Robert Lewandowski,9,foul,5
288072,Robert Lewandowski,9,freeKick,0
288060,Robert Lewandowski,9,goal,1
288091,Robert Lewandowski,9,goalAgainst,0
288069,Robert Lewandowski,9,goalAssist,0
288073,Robert Lewandowski,9,goalMissedFar,0
288077,Robert Lewandowski,9,hattrick,0
288061,Robert Lewandowski,9,interception,2
288089,Robert Lewandowski,9,lostPenalty,0
288075,Robert Lewandowski,9,missedChance,0
288086,Robert Lewandowski,9,offside,0
288079,Robert Lewandowski,9,ownGoal,0
288062,Robert Lewandowski,9,pass,11
288078,Robert Lewandowski,9,penaltyGoal,0
288084,Robert Lewandowski,9,redCard,0
288088,Robert Lewandowski,9,savedPenalty,0
288083,Robert Lewandowski,9,secondYellowCard,0
288063,Robert Lewandowski,9,shotAtGoal,1
288064,Robert Lewandowski,9,successfulTackle,5
288065,Robert Lewandowski,9,superPass,1
288068,Robert Lewandowski,9,throwIn,0
288066,Robert Lewandowski,9,unsuccessfulPass,9
288074,Robert Lewandowski,9,unsuccessfulPenalty,0
288067,Robert Lewandowski,9,unsuccessfulTackle,2
288082,Robert Lewandowski,9,yellowCard,0
289046,Robert Lewandowski,10,awardedPenalty,0
289051,Robert Lewandowski,10,blockedGoalShot,0
289047,Robert Lewandowski,10,causedPenalty,0
289037,Robert Lewandowski,10,cross,0
289056,Robert Lewandowski,10,defended,0
289042,Robert Lewandowski,10,doublePack,0
289053,Robert Lewandowski,10,error,0
289036,Robert Lewandowski,10,farCorner,0
289025,Robert Lewandowski,10,foul,1
289038,Robert Lewandowski,10,freeKick,0
289041,Robert Lewandowski,10,goal,0
