name,final_score
Sebastian Rudy,3610
Serge Gnabry,6023
Sheraldo Becker,1724
Shkodran Mustafi,3815
Silas Wamangituka,4825
Stefan Bell,3965
Stefan Ilsanker,3998
Stefan Lainer,6735
Stefan Ortega Moreno,11848
Stefan Posch,5510
Suat Serdar,4203
Sven Bender,3556
Tanguy Coulibaly,2099
Theodor Gebre Selassie,7567
Thomas Delaney,3647
Thomas Meunier,4177
Thomas Müller,8069
Timo Becker,3263
Timo Horn,8092
Tobias Strobl,2793
Tyler Adams,4887
Valentino Lazaro,2469
Vincenzo Grifo,6293
Vladimir Darida,3924
Waldemar Anton,8321
Wataru Endo,8404
Willi Orban,8823
Woo-Yeong Jeong,2158
Wout Weghorst,7952
Xaver Schlager,6496
Yann Sommer,6015
Yannick Gerhardt,3467
Yussuf Poulsen,3246
Ömer Toprak,6181
