name,position,club_id,matchday,is_home,odds_win,odds_draw,odds_lose,final_score
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,11,False,3.98,3.6,1.92,3
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,15,True,4.44,4.1,1.73,-15
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,19,False,3.98,3.54,1.95,-12
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,20,True,9.24,5.39,1.33,258
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,21,False,4.7,3.63,1.78,-15
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,22,True,9.24,5.5,1.32,75
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,23,False,6.2,4.57,1.5,93
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,24,True,3.47,3.54,2.11,208
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,25,False,9.39,5.02,1.35,270
 William,defender,fd8cfc66-dd84-575a-af56-a5d987ca63e4,26,True,6.85,4.6,1.46,29
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,1,True,2.89,3.44,2.43,63
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,2,False,2.3,3.45,3.06,6
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,3,True,2.02,3.56,3.66,163
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,4,False,4.01,3.85,1.86,46
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,5,True,1.69,3.89,5.06,84
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,6,False,2.62,3.47,2.64,33
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,7,True,2.12,3.69,3.29,38
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,8,False,1.99,3.58,3.77,168
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,9,True,1.89,3.64,4.14,21
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,14,False,5.4,4.29,1.58,54
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,17,False,1.86,3.83,4.03,-13
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,19,True,1.85,3.74,4.13,94
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,23,True,1.73,3.93,4.65,4
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,24,False,2.38,3.48,2.94,53
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,25,True,1.35,5.02,9.39,14
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,26,False,1.85,3.61,4.29,74
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,30,False,2.06,3.78,3.36,21
Admir Mehmedi,midfielder,d9470353-f1e4-5c01-a882-c69422a604b6,31,True,3.12,3.93,2.12,28
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,13,False,1.97,3.7,3.7,22
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,16,True,1.52,4.47,6.1,142
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,17,False,2.43,3.47,2.87,23
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,18,False,1.78,3.78,4.5,35
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,19,True,1.79,3.82,4.4,-23
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,21,True,1.48,4.47,6.53,13
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,23,False,1.8,3.76,4.43,57
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,26,True,1.86,3.72,4.09,0
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,32,True,1.83,4.06,3.96,335
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,33,False,1.22,6.92,12.16,126
Ajdin Hrustic,midfielder,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,34,True,2.07,4.23,3.07,405
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,7,True,1.84,3.69,4.31,214
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,8,False,2.62,3.35,2.72,29
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,9,True,2.51,3.52,2.73,49
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,11,True,8.51,6.28,1.3,15
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,12,False,3.37,3.52,2.14,17
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,13,True,4.81,3.95,1.7,-2
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,15,True,2.95,3.31,2.48,-22
Akaki Gogia,midfielder,d80f9ee5-1188-5302-a790-e61352fc45d4,18,False,2.11,3.38,3.61,-14
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,1,False,4.91,4.36,1.63,11
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,2,True,1.44,4.61,7.3,270
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,3,False,1.88,3.86,3.89,479
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,5,False,1.67,4.15,4.82,81
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,6,True,2.96,3.63,2.31,222
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,7,False,2.92,3.56,2.36,15
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,9,True,1.35,5.3,8.36,343
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,10,False,1.98,3.7,3.67,319
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,11,True,1.92,3.77,3.81,57
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,12,False,2.48,3.7,2.68,-55
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,14,False,1.59,4.17,5.62,15
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,16,False,2.31,3.77,2.88,44
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,17,True,1.6,4.15,5.55,127
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,18,True,3.26,3.74,2.11,-20
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,19,False,2.24,3.38,3.28,346
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,20,True,1.47,4.5,6.78,61
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,21,False,2.8,3.48,2.48,124
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,22,True,1.66,3.96,5.12,162
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,23,False,5.12,4.19,1.63,7
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,24,True,2.61,3.48,2.65,114
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,25,False,1.86,3.73,4.19,213
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,26,False,1.46,4.6,6.85,164
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,27,True,1.81,3.92,4.16,221
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,28,False,2.26,3.5,3.15,268
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,29,True,2.54,3.71,2.61,24
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,30,False,2.21,3.69,3.08,275
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,31,True,1.62,3.87,5.88,261
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,32,False,7.64,5.48,1.37,58
Alassane Plea,attacker,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716,33,True,1.64,4.56,4.6,87
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,2,True,3.03,3.65,2.25,14
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,5,True,1.64,4.18,5.07,216
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,7,True,2.36,3.56,2.92,47
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,8,False,1.55,4.34,5.77,379
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,9,True,1.78,3.87,4.34,206
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,10,False,1.52,4.42,6.11,370
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,11,True,1.78,4.2,4.01,36
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,12,False,1.67,4.02,4.95,214
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,13,True,3.87,4.08,1.84,345
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,14,False,2.09,3.79,3.26,368
Aleksandar Dragovic,defender,abee2e16-c361-5d60-93ac-437af3739580,15,True,1.47,4.59,6.74,368
