is_home,odds_draw,odds_lose,odds_win,weighted_occurences,team_name_normalized,event_type_normalized,position_normalized
1.0,4.5,6.78,1.47,0.0,10,0,0
0.0,3.48,2.48,2.8,1.0,10,0,0
1.0,3.96,5.12,1.66,1.0,10,0,0
0.0,4.19,1.63,5.12,0.0,10,0,0
1.0,3.48,2.65,2.61,0.0,10,0,0
0.0,3.73,4.19,1.86,1.0,10,0,0
0.0,4.6,6.85,1.46,0.0,10,0,0
1.0,3.92,4.16,1.81,0.0,10,0,0
0.0,3.5,3.15,2.26,1.0,10,0,0
1.0,3.71,2.61,2.54,0.0,10,0,0
0.0,3.69,3.08,2.21,0.0,10,0,0
1.0,3.87,5.88,1.62,0.0,10,0,0
0.0,5.48,1.37,7.64,0.0,10,0,0
1.0,4.56,4.6,1.64,1.0,10,0,0
0.0,3.92,2.67,2.42,0.0,10,0,0
0.0,3.44,2.89,2.43,0.0,9,0,1
1.0,3.65,2.25,3.03,0.0,9,0,1
0.0,3.93,3.7,1.91,0.0,9,0,1
0.0,4.35,5.13,1.61,0.0,9,0,1
1.0,4.18,5.07,1.64,0.0,9,0,1
0.0,3.57,3.71,2.0,0.0,9,0,1
1.0,3.56,2.92,2.36,0.0,9,0,1
0.0,4.34,5.77,1.55,0.0,9,0,1
1.0,3.87,4.34,1.78,0.0,9,0,1
0.0,4.42,6.11,1.52,0.0,9,0,1
1.0,4.2,4.01,1.78,0.0,9,0,1
0.0,4.02,4.95,1.67,0.0,9,0,1
1.0,4.08,1.84,3.87,1.0,9,0,1
0.0,3.79,3.26,2.09,0.0,9,0,1
1.0,4.59,6.74,1.47,1.0,9,0,1
0.0,3.44,3.25,2.24,1.0,9,0,1
1.0,3.75,2.19,3.11,0.0,9,0,1
1.0,3.63,3.47,2.07,0.0,9,0,1
0.0,3.6,1.93,4.0,0.0,9,0,1
1.0,3.78,3.6,1.99,0.0,9,0,1
1.0,4.68,6.7,1.45,0.0,9,0,1
0.0,3.94,5.2,1.66,0.0,9,0,1
1.0,3.61,4.37,1.84,0.0,9,0,1
0.0,3.48,2.61,2.65,0.0,9,0,1
1.0,4.98,8.18,1.38,0.0,9,0,1
0.0,3.51,3.5,2.08,0.0,9,0,1
1.0,6.48,12.45,1.23,0.0,9,0,1
